orden_id;order_item_id;producto_id;vendedor_id;fecha_envio_limite;precio;valor_flete;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto
107500PO59A;A;PO59;VE5389;07/04/2018 18:12;271.86;30.72;Productos ecoamigables;6;7;27;2486;17;11;14
37493PS22B;B;PS22;VE1558;20/10/2017 9:07;115.73;4.68;Carnicería;10;31;20;256;43;2;21
28050PK20B;B;PK20;VE9159;17/08/2017 8:15;432.99;82.7;Deportes;25;5;4;5270;9;27;29
52187PA10A;A;PA10;VE3159;23/09/2017 23:27;108.38;35.39;Electrodomésticos;10;1;6;734;46;48;22
84639PR12A;A;PR12;VE5090;07/01/2018 11:50;51.5;11.1;Frutas y verduras;23;16;35;884;45;26;18
73003PS37A;A;PS37;VE3806;09/12/2017 16:52;132.51;33.68;Carnicería;13;19;29;811;29;9;16
41673PB76A;A;PB76;VE2456;11/02/2018 20:04;420.95;12.19;Ropa de adultos;8;37;24;621;26;41;29
61340PD21A;A;PD21;VE2456;11/03/2018 2:12;163.16;4.6;Celulares;5;35;26;286;29;21;18
6725PK32A;A;PK32;VE8613;30/01/2018 17:32;113.54;4.48;Deportes;7;11;30;30;50;26;17
41805PP22A;A;PP22;VE1340;09/05/2018 13:40;244.44;83.65;Licor;1;39;33;16;11;42;12
72523PG54A;A;PG54;VE5229;18/01/2018 2:39;61.04;52.69;Salud;21;33;0;258;22;24;25
11139PA88A;A;PA88;VE7147;04/05/2018 12:19;50.14;0.32;Electrodomésticos;21;25;24;214;11;26;1
23409PQ21A;A;PQ21;VE2821;11/12/2017 22:48;51.57;3.47;Lácteos;34;30;28;6509;61;21;29
37362PT19A;A;PT19;VE6294;02/09/2017 21:56;13.48;10.03;Tarjetas regalo;2;40;36;166;25;24;15
52160PT82A;A;PT82;VE5473;28/07/2017 12:45;27.54;13.6;Tarjetas regalo;35;6;31;2090;14;12;26
94053PO72A;A;PO72;VE3276;11/02/2018 18:32;68.39;9.11;Productos ecoamigables;17;6;38;1148;23;13;9
62783PG32A;A;PG32;VE5993;08/10/2017 20:42;95.51;13.17;Salud;1;40;24;3030;50;16;24
12622PN88A;A;PN88;VE9449;29/09/2017 14:01;336.38;12.5;Dormitorio;35;1;19;1318;38;19;17
70749PI65A;A;PI65;VE8338;14/07/2017 23:06;42.21;18.62;Juguetes;37;14;21;1368;45;2;6
45233PN94A;A;PN94;VE3607;04/05/2018 5:31;80.47;3.4;Dormitorio;26;7;30;298;21;6;11
20662PO89A;A;PO89;VE2887;27/07/2017 15:23;36.64;3.11;Productos ecoamigables;11;6;26;1894;7;5;13
97792PM45A;A;PM45;VE6032;20/09/2017 11:15;60.54;10.1;Ferretería;7;3;26;4073;19;6;28
101920PP76C;C;PP76;VE5109;26/11/2017 5:06;106.7;36.9;Licor;2;27;7;590;55;0;27
89816PE75A;A;PE75;VE3939;06/04/2018 20:43;42.16;16.63;Tecnología;0;33;30;75;7;34;44
28076PD94A;A;PD94;VE8722;31/07/2017 17:34;96.04;4.65;Celulares;26;11;24;184;46;2;20
65719PM57A;A;PM57;VE3276;16/10/2017 20:11;316.28;15.13;Ferretería;21;15;12;1021;28;40;17
4179PN59A;A;PN59;VE9609;22/12/2017 17:23;26.84;44.83;Dormitorio;2;35;20;417;28;8;13
95353PC17A;A;PC17;VE5090;16/05/2018 20:42;55.5;7.99;Ropa infantil;38;34;36;488;13;19;20
104961PJ24A;A;PJ24;VE7348;23/02/2018 18:45;136.12;14.71;Mascotas;25;10;24;343;12;7;25
29021PG33A;A;PG33;VE5979;07/10/2017 22:16;386.56;7.44;Salud;32;40;4;3092;45;18;17
87762PE65A;A;PE65;VE5473;26/03/2018 6:52;169.49;25.42;Tecnología;30;13;9;760;56;7;25
93824PP89A;A;PP89;VE7623;15/03/2018 21:58;45.62;15.92;Licor;22;19;15;868;12;26;10
8653PO99A;A;PO99;VE3689;11/04/2018 17:37;113.39;51.35;Productos ecoamigables;34;19;32;97;19;15;30
84081PB54A;A;PB54;VE1175;30/05/2018 17:15;4.56;23.84;Ropa de adultos;15;23;4;1672;63;9;14
25095PT40A;A;PT40;VE7926;15/02/2018 0:07;6.4;25.65;Tarjetas regalo;16;17;40;2728;22;15;26
32692PJ99A;A;PJ99;VE3549;15/02/2018 16:36;25.58;27.84;Mascotas;38;21;21;436;62;16;4
27294PI99A;A;PI99;VE3215;15/05/2018 15:29;154.26;13.99;Juguetes;32;6;13;22;29;17;19
63810PC38A;A;PC38;VE5993;29/09/2017 10:31;140.34;2.3;Ropa infantil;17;39;2;2548;4;41;29
74218PT44A;A;PT44;VE8613;11/06/2018 3:36;332.59;22.31;Tarjetas regalo;21;0;40;3940;33;9;27
97099PB61A;A;PB61;VE5090;01/09/2017 3:19;155.2;29.78;Ropa de adultos;11;2;11;118;38;36;46
112492PL78A;A;PL78;VE8511;02/06/2018 17:31;177.45;8.68;Libros;27;18;14;1564;40;10;27
66573PG32A;A;PG32;VE4002;18/07/2017 9:23;266.42;84.15;Salud;37;13;18;6776;15;20;40
